Name,Rgb
Absolute Zero,"(0, 72, 186)"
Acid Green,"(176, 191, 26)"
Alice Blue,"(240, 248, 255)"
Alizarin,"(227, 38, 54)"
Amaranth,"(229, 43, 80)"
Amber,"(255, 191, 0)"
Amethyst,"(153, 102, 204)"
Antique White,"(250, 235, 215)"
Antique White,"(255, 239, 219)"
Antique White,"(238, 223, 204)"
Antique White,"(205, 192, 176)"
Antique White,"(139, 131, 120)"
Apricot,"(251, 206, 177)"
Aqua,"(0, 255, 255)"
Aquamarine,"(127, 255, 212)"
Aquamarine,"(118, 238, 198)"
Aquamarine,"(69, 139, 116)"
Army Green,"(75, 83, 32)"
Arylide Yellow,"(233, 214, 107)"
Ash Grey,"(178, 190, 181)"
Asparagus,"(135, 169, 107)"
Aureolin,"(253, 238, 0)"
Azure,"(240, 255, 255)"
Azure,"(224, 238, 238)"
Azure,"(193, 205, 205)"
Azure,"(131, 139, 139)"
Baby Blue,"(137, 207, 240)"
Baby Pink,"(244, 194, 194)"
Baker Miller,"(255, 145, 175)"
Banana Mania,"(250, 231, 181)"
Banana Yellow,"(255, 225, 53)"
Barn Red,"(124, 10, 2)"
Battleship Gray,"(132, 132, 130)"
Beaver,"(159, 129, 112)"
Beige,"(245, 245, 220)"
Bisque,"(255, 228, 196)"
Bisque,"(238, 213, 183)"
Bisque,"(205, 183, 158)"
Bisque,"(139, 125, 107)"
Bistre,"(61, 43, 31)"
Bitter Lemon,"(202, 224, 13)"
Bitter Lime,"(191, 255, 0)"
Bittersweet,"(254, 111, 94)"
Bittersweet Shimmer,"(191, 79, 81)"
Black,"(0, 0, 0)"
Black Coffee,"(59, 47, 47)"
Black Olive,"(59, 60, 54)"
Black Shadows,"(191, 175, 178)"
Blanched Almond,"(255, 235, 205)"
Bleu France,"(49, 140, 231)"
Blond,"(250, 240, 190)"
Blue Pantone,"(0, 24, 168)"
Blue Bell,"(162, 162, 208)"
Blue Green,"(13, 152, 186)"
Blue,"(0, 0, 255)"
Blue,"(0, 0, 238)"
Blue,"(0, 0, 139)"
Blue Violet,"(138, 43, 226)"
Bole,"(121, 68, 59)"
Bone,"(227, 218, 201)"
Boysenberry,"(135, 50, 96)"
Brandeis Blue,"(0, 112, 255)"
Brass,"(181, 166, 66)"
Brick Red,"(203, 65, 84)"
Bright Cerulean,"(29, 172, 214)"
Bright Green,"(102, 255, 0)"
Bright Lavender,"(191, 148, 228)"
Bright Lilac,"(216, 145, 239)"
Bright Maroon,"(195, 33, 72)"
Bright Navy,"(25, 116, 210)"
Bright Turquoise,"(8, 232, 222)"
Bright Ube,"(209, 159, 232)"
Brilliant Rose,"(255, 85, 163)"
Brink Pink,"(251, 96, 127)"
British Racing,"(0, 66, 37)"
Bronze,"(205, 127, 50)"
Brown,"(165, 42, 42)"
Brown,"(255, 64, 64)"
Brown,"(238, 59, 59)"
Brown,"(205, 51, 51)"
Brown,"(139, 35, 35)"
Brunswick Green,"(27, 77, 62)"
Bubble Gum,"(255, 193, 204)"
Buff,"(240, 220, 130)"
Bulgarian Rose,"(72, 6, 7)"
Burgundy,"(128, 0, 32)"
Burlywood,"(222, 184, 135)"
Burlywood,"(255, 211, 155)"
Burlywood,"(238, 197, 145)"
Burlywood,"(205, 170, 125)"
Burlywood,"(139, 115, 85)"
Burnished Brown,"(161, 122, 116)"
Burnt Orange,"(204, 85, 0)"
Burnt Sienna,"(233, 116, 81)"
Burnt Umber,"(138, 51, 36)"
Byzantine,"(189, 51, 164)"
Byzantium,"(112, 41, 99)"
Cadet Grey,"(145, 163, 176)"
Cadet Blue,"(95, 158, 160)"
Cadet Blue,"(152, 245, 255)"
Cadet Blue,"(142, 229, 238)"
Cadet Blue,"(122, 197, 205)"
Cadet Blue,"(83, 134, 139)"
Cadmium Green,"(0, 107, 60)"
Cadmium Orange,"(237, 135, 45)"
Cadmium Red,"(227, 0, 34)"
Cadmium Yellow,"(255, 246, 0)"
Cambridge Blue,"(163, 193, 173)"
Camel,"(193, 154, 107)"
Cameo Pink,"(239, 187, 204)"
Camouflage Green,"(120, 134, 107)"
Canary,"(255, 255, 153)"
Canary Yellow,"(255, 239, 0)"
Candy Apple,"(255, 8, 0)"
Candy Pink,"(228, 113, 122)"
Caput Mortuum,"(89, 39, 32)"
Cardinal,"(196, 30, 58)"
Caribbean Green,"(0, 204, 153)"
Carmine,"(150, 0, 24)"
Carmine Pink,"(235, 76, 66)"
Carnation Pink,"(255, 166, 201)"
Carnelian,"(179, 27, 27)"
Carolina Blue,"(86, 160, 211)"
Carrot Orange,"(237, 145, 33)"
Castleton Green,"(0, 86, 63)"
Cedar Chest,"(201, 90, 73)"
Celadon,"(172, 225, 175)"
Celadon Green,"(47, 132, 124)"
Celeste,"(178, 255, 255)"
Celtic Blue,"(36, 107, 206)"
Cerise,"(222, 49, 99)"
Cerulean,"(0, 123, 167)"
Cerulean Blue,"(42, 82, 190)"
Cerulean Frost,"(109, 155, 195)"
Cg Blue,"(0, 122, 165)"
Chamoisee,"(160, 120, 90)"
Champagne,"(247, 231, 206)"
Charcoal,"(54, 69, 79)"
Chartreuse,"(127, 255, 0)"
Chartreuse,"(118, 238, 0)"
Chartreuse,"(102, 205, 0)"
Chartreuse,"(69, 139, 0)"
Cherry Blossom,"(255, 183, 197)"
Chestnut,"(149, 69, 53)"
Chocolate,"(210, 105, 30)"
Chocolate,"(255, 127, 36)"
Chocolate,"(238, 118, 33)"
Chocolate,"(205, 102, 29)"
Chrome Yellow,"(255, 167, 0)"
Cinereous,"(152, 129, 123)"
Cinnabar,"(227, 66, 52)"
Citrine,"(228, 208, 10)"
Citron,"(159, 169, 31)"
Claret,"(127, 23, 52)"
Cobalt,"(0, 71, 171)"
Coffee,"(111, 78, 55)"
Cool Grey,"(140, 146, 172)"
Copper,"(184, 115, 51)"
Copper Red,"(203, 109, 81)"
Copper Rose,"(153, 102, 102)"
Coquelicot,"(255, 56, 0)"
Coral,"(255, 127, 80)"
Coral Pink,"(248, 131, 121)"
Coral,"(255, 114, 86)"
Coral,"(238, 106, 80)"
Coral,"(205, 91, 69)"
Coral,"(139, 62, 47)"
Cordovan,"(137, 63, 69)"
Corn,"(251, 236, 93)"
Cornflower Blue,"(100, 149, 237)"
Cornsilk,"(255, 248, 220)"
Cornsilk,"(238, 232, 205)"
Cornsilk,"(205, 200, 177)"
Cornsilk,"(139, 136, 120)"
Cosmic Cobalt,"(46, 45, 136)"
Cosmic Latte,"(255, 248, 231)"
Cotton Candy,"(255, 188, 217)"
Cream,"(255, 253, 208)"
Crimson,"(220, 20, 60)"
Crystal,"(167, 216, 222)"
Cyan,"(0, 255, 255)"
Cyan,"(0, 238, 238)"
Cyan,"(0, 205, 205)"
Cyan,"(0, 139, 139)"
Cyclamen,"(245, 111, 161)"
Daffodil,"(255, 255, 49)"
Dandelion,"(240, 225, 48)"
Dark Brown,"(101, 67, 33)"
Dark Byzantium,"(93, 57, 84)"
Dark Jungle,"(26, 36, 33)"
Dark Lavender,"(115, 79, 150)"
Dark Moss,"(74, 93, 35)"
Dark Pastel,"(3, 192, 60)"
Dark Sienna,"(60, 20, 20)"
Dark Sky,"(140, 190, 214)"
Dark Spring,"(23, 114, 69)"
Dark Goldenrod,"(184, 134, 11)"
Dark Goldenrod,"(255, 185, 15)"
Dark Goldenrod,"(238, 173, 14)"
Dark Goldenrod,"(205, 149, 12)"
Dark Goldenrod,"(139, 101, 8)"
Dark Green,"(0, 100, 0)"
Dark Khaki,"(189, 183, 107)"
Dark Olive,"(85, 107, 47)"
Dark Olive,"(202, 255, 112)"
Dark Olive,"(188, 238, 104)"
Dark Olive,"(162, 205, 90)"
Dark Olive,"(110, 139, 61)"
Dark Orange,"(255, 140, 0)"
Dark Orange,"(255, 127, 0)"
Dark Orange,"(238, 118, 0)"
Dark Orange,"(205, 102, 0)"
Dark Orange,"(139, 69, 0)"
Dark Orchid,"(153, 50, 204)"
Dark Orchid,"(191, 62, 255)"
Dark Orchid,"(178, 58, 238)"
Dark Orchid,"(154, 50, 205)"
Dark Orchid,"(104, 34, 139)"
Dark Salmon,"(233, 150, 122)"
Dark Sea,"(143, 188, 143)"
Dark Sea,"(193, 255, 193)"
Dark Sea,"(180, 238, 180)"
Dark Sea,"(155, 205, 155)"
Dark Sea,"(105, 139, 105)"
Dark Slate,"(72, 61, 139)"
Dark Slate,"(47, 79, 79)"
Dark Slate,"(151, 255, 255)"
Dark Slate,"(141, 238, 238)"
Dark Slate,"(121, 205, 205)"
Dark Slate,"(82, 139, 139)"
Dark Turquoise,"(0, 206, 209)"
Dark Violet,"(148, 0, 211)"
Dartmouth Green,"(0, 112, 60)"
Deep Cerise,"(218, 50, 135)"
Deep Champagne,"(250, 214, 165)"
Deep Fuchsia,"(193, 84, 193)"
Deep Jungle,"(0, 75, 73)"
Deep Peach,"(255, 203, 164)"
Deep Saffron,"(255, 153, 51)"
Deep Space,"(74, 100, 108)"
Deep,"(185, 78, 72)"
Deep Pink,"(255, 20, 147)"
Deep Pink,"(238, 18, 137)"
Deep Pink,"(205, 16, 118)"
Deep Pink,"(139, 10, 80)"
Deep Sky,"(0, 191, 255)"
Deep Sky,"(0, 178, 238)"
Deep Sky,"(0, 154, 205)"
Deep Sky,"(0, 104, 139)"
Denim,"(21, 96, 189)"
Denim Blue,"(34, 67, 182)"
Desert Sand,"(237, 201, 175)"
Dim Gray,"(105, 105, 105)"
Dodger Blue,"(30, 144, 255)"
Dodger Blue,"(28, 134, 238)"
Dodger Blue,"(24, 116, 205)"
Dodger Blue,"(16, 78, 139)"
Dogwood Rose,"(215, 24, 104)"
Dutch White,"(239, 223, 187)"
Earth Yellow,"(225, 169, 95)"
Ebony,"(85, 93, 80)"
Eggplant,"(97, 64, 81)"
Eggshell,"(240, 234, 214)"
Egyptian Blue,"(16, 52, 166)"
Electric Blue,"(125, 249, 255)"
Electric Indigo,"(111, 0, 255)"
Electric Lime,"(204, 255, 0)"
Electric Purple,"(191, 0, 255)"
Emerald,"(80, 200, 120)"
Eminence,"(108, 48, 130)"
Eton Blue,"(150, 200, 162)"
Falu Red,"(128, 24, 24)"
Fawn,"(229, 170, 112)"
Feldgrau,"(77, 93, 83)"
Fern Green,"(79, 121, 66)"
Ferrari Red,"(255, 40, 0)"
Fire Opal,"(233, 92, 75)"
Firebrick,"(178, 34, 34)"
Firebrick,"(255, 48, 48)"
Firebrick,"(238, 44, 44)"
Firebrick,"(205, 38, 38)"
Firebrick,"(139, 26, 26)"
