Name,Colors,Year,Genre,Style,Link
The Goat Herd,"('#241E26', '#3F3A40', '#8B888C', '#D8D7D9', '#BEBABF')",1862,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/the-goat-herd-1862.jpg!Large.jpg
Dog,"('#BFB6AE', '#D9D0C7', '#F2EAE4', '#736968', '#261E1E')",1862,animal painting,Post-Impressionism,https://uploads3.wikiart.org/images/vincent-van-gogh/dog(1).jpg!Large.jpg
Milk Jug,"('#0D0B0B', '#403C3D', '#F2E8DF', '#D9D0C7', '#8C8887')",1862,still life,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/milk-jug.jpg!Large.jpg
Barn and Farmhouse,"('#F2EADF', '#BFBBB8', '#736E6C', '#0D0A0A', '#403B3B')",1864,landscape,Post-Impressionism,https://uploads0.wikiart.org/images/vincent-van-gogh/barn-and-farmhouse(1).jpg!Large.jpg
Two Sketches of a Man Leaning on His Spade,"('#848C84', '#3A4039', '#52594F', '#F2F2F2', '#D9D9D9')",1867,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/two-sketches-of-a-man-leaning-on-his-spade-1867.jpg!Large.jpg
Old Woman Asleep after Rops,"('#BF8C4E', '#A67041', '#8C5F37', '#261A0F', '#593F27')",1873,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/old-woman-asleep-after-rops-1873.jpg!Large.jpg
"Vincent's Boarding House in Hackford Road, Brixton, London","('#D9CBA3', '#59492A', '#A69576', '#F2E0BD', '#261807')",1873,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/vincent-s-boarding-house-in-hackford-road-brixton-london.jpg!Large.jpg
Driveway,"('#F2CC85', '#D9A86C', '#593719', '#A6754B', '#260401')",1873,landscape,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/driveway(1).jpg!Large.jpg
Canal,"('#D9D7BA', '#D9CE9A', '#BF996B', '#402A17', '#735236')",1873,landscape,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/canal(1).jpg!Large.jpg
"Austin Friars Church, London","('#262526', '#F2EFE9', '#737272', '#BFBCBA', '#0D0000')",1874,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/austin-friars-church-london(1).jpg!Large.jpg
Town d'Avray: L'Etang au Batelier,"('#403B2C', '#A69472', '#F2DBAE', '#F2D6B3', '#736656')",1875,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/town-d-avray-l-etang-au-batelier-1875.jpg!Large.jpg
Vicarage and Church at Etten,"('#F2DA91', '#D9B573', '#735026', '#BF925A', '#260F01')",1876,sketch and study,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/vicarage-and-church-at-etten-1876.jpg!Large.jpg
